timestamp,value-0,is_anomaly
0,-7.886740931054451,0
1,-8.09008003336076,0
2,-8.057134791221113,0
3,-8.074106103337652,0
4,-7.989131501149604,0
5,-8.0255037031163,0
6,-8.056027949852874,0
7,-8.053623944117614,0
8,-8.040839811346157,0
9,-8.064782327567883,0
10,-8.11610610892918,0
11,-8.04047138006087,0
12,-8.017098337077366,0
13,-8.005655520022874,0
14,-7.9734995242919355,0
15,-8.07748012989439,0
16,-7.959862962743801,0
17,-8.07254495148719,0
18,-8.129502305634405,0
19,-8.151547615850914,0
20,-8.225790074110318,0
21,-8.206986228188477,0
22,-8.061835687636819,0
23,-8.177824252223976,0
24,-8.019721286196162,0
25,-8.149105595376476,0
26,-8.05717301156498,0
27,-8.146038391976875,0
28,-8.168053552109402,0
29,-8.156767699793622,0
30,-8.003115882673226,0
31,-8.102852708616798,0
32,-8.111883449785887,0
33,-8.250200293202095,0
34,-8.084601034239359,0
35,-8.270958408355416,0
36,-8.072566451096844,0
37,-8.255554949640395,0
38,-8.078275798338463,0
39,-8.183088961004533,0
40,-8.290155960988827,0
41,-8.32265586658217,0
42,-8.339374072155012,0
43,-8.323765881912314,0
44,-8.249515788934563,0
45,-8.195408810633607,0
46,-8.255695009616227,0
47,-8.218026281954025,0
48,-8.319143864800205,0
49,-8.293533707158218,0
50,-8.096539776112968,0
51,-8.376132495931992,0
52,-8.331743621171826,0
53,-8.344166409450255,0
54,-8.208897649290058,0
55,-8.213567176162545,0
56,-8.176024770576612,0
57,-8.245448757830701,0
58,-8.211311659795918,0
59,-8.320278178300732,0
60,-8.27306052893811,0
61,-8.235738608356202,0
62,-8.326732372206772,0
63,-8.339910276062168,0
64,-8.25631627361251,0
65,-8.336430611556354,0
66,-8.248207590657412,0
67,-8.29262092462207,0
68,-8.280222506884485,0
69,-8.31802755849596,0
70,-8.397712546902799,0
71,-8.367436739386477,0
72,-8.412158414393467,0
73,-8.458939466056865,0
74,-8.337573696957058,0
75,-8.377179536124297,0
76,-8.237896156325474,0
77,-8.321755826664065,0
78,-8.441585446716616,0
79,-8.364308109491551,0
80,-8.464135251410642,0
81,-8.266451128238227,0
82,-8.27884298086045,0
83,-8.415311812594355,0
84,-8.402132121210105,0
85,-8.395787972436004,0
86,-8.520356539602776,0
87,-8.612849116572514,0
88,-8.500857861939815,0
89,-8.479823708054136,0
90,-8.47462796713444,0
91,-8.423299329484795,0
92,-8.547712693131867,0
93,-8.561203847313749,0
94,-8.519777875304879,0
95,-8.446645938217488,0
96,-8.486794422093148,0
97,-8.426787560603257,0
98,-8.570629515460524,0
99,-8.429984276349138,0
100,-8.502238476600391,0
101,-8.473278466596746,0
102,-8.555609184255953,0
103,-8.554409780689152,0
104,-8.40878475399307,0
105,-8.548337518667193,0
106,-8.480358444599112,0
107,-8.498096287219685,0
108,-8.543169899911074,0
109,-8.621856638511254,0
110,-8.575915918286368,0
111,-8.587995904964716,0
112,-8.662662834155716,0
113,-8.577269360274315,0
114,-8.660419243593052,0
115,-8.655223709117358,0
116,-8.722365056488757,0
117,-8.50502091481155,0
118,-8.684244268946099,0
119,-8.504301835585792,0
120,-8.675893922364285,0
121,-8.748457772178634,0
122,-8.683625267517423,0
123,-8.630764278363564,0
124,-8.694886637849457,0
125,-8.627874775167715,0
126,-8.710366100042634,0
127,-8.671180722905586,0
128,-8.620301325938666,0
129,-8.642953675395024,0
130,-8.640222060655619,0
131,-8.565653256187774,0
132,-8.782649500653582,0
133,-8.650667868226794,0
134,-8.66431279160271,0
135,-8.62633275439687,0
136,-8.70260536379238,0
137,-8.73332455377949,0
138,-8.556202081681352,0
139,-8.69341286976018,0
140,-8.698813617631568,0
141,-8.834130018266562,0
142,-8.741500350679553,0
143,-8.765916376412125,0
144,-8.728258539471241,0
145,-8.759496761017067,0
146,-8.766950006254067,0
147,-8.800287923118653,0
148,-8.738998109199159,0
149,-8.893237041291588,0
150,-8.675895221520971,0
151,-8.768929845834844,0
152,-8.813336224940631,0
153,-8.601081293876042,0
154,-8.622817131583624,0
155,-8.858992379337803,0
156,-8.745600105264469,0
157,-8.72842820500226,0
158,-8.906531101358194,0
159,-8.73062667161559,0
160,-8.843511267204061,0
161,-8.770777329945068,0
162,-8.818409535808417,0
163,-8.909108939387771,0
164,-8.784049074437105,0
165,-8.833523303834063,0
166,-8.838246029971135,0
167,-8.806450342091843,0
168,-8.924295071020726,0
169,-8.855306721070214,0
170,-8.83039733082428,0
171,-8.868744976576716,0
172,-8.935914064141151,0
173,-8.93859993572955,0
174,-8.784941975207712,0
175,-8.855698832941272,0
176,-8.88026837390832,0
