Dataset,AUC-ROC,AUC-PR
data/NAB/occupancy_6005.test.csv,0.22069126576366183,0.05021008403361345
data/NASA-SMAP/F-1.test.csv,0.3962631144642226,0.005883038210624417
data/KDD-TSAD/161_UCR_Anomaly_WalkingAceleration1.test.csv,0.34162405082907177,0.017280071813285457
data/KDD-TSAD/053_UCR_Anomaly_DISTORTEDWalkingAceleration1.test.csv,0.3750968541763521,0.017280071813285457
data/NASA-MSL/P-15.test.csv,0.9944990341815739,0.5536139455782313
data/NAB/elb_request_count_8c0756.test.csv,0.827379630771761,0.6569896139704925
data/GutenTAG/cbf-type-trend/test.csv,0.3117171717171717,0.005
data/GutenTAG/poly-combined-diff-2/test.csv,0.5735985815602836,0.12446842909413819
data/NAB/ec2_cpu_utilization_ac20cd.test.csv,0.9617887201732391,0.75564301290361
data/NAB/speed_t4013.test.csv,0.9687028953229398,0.7972889961009306
data/NAB/occupancy_t4013.test.csv,0.9744817777777778,0.9215110633776793
data/NASA-SMAP/T-3.test.csv,0.9984980707978351,0.9417887066669814
data/NormA/Discords_marotta_valve_tek_16.test.csv,0.9529454022988506,0.19777398223121906
data/NASA-SMAP/P-1.test.csv,0.6682936207144665,0.3341917660760185
data/NAB/speed_7578.test.csv,0.7779341041645349,0.5586753129208757
data/NAB/exchange-3_cpc_results.test.csv,0.8636676812722681,0.5284310542686226
data/NASA-MSL/F-7.test.csv,0.6706323864306378,0.477599298248102
data/NAB/ec2_cpu_utilization_fe7f93.test.csv,0.8007239939139579,0.7205385756558261
data/NAB/speed_6005.test.csv,0.9997048367904748,0.9972756410256409
data/NAB/ec2_cpu_utilization_825cc2.test.csv,0.95870197980443,0.6953360972894339
data/KDD-TSAD/019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1.test.csv,0.9986769670610419,0.7826704545454546
data/NAB/rogue_agent_key_hold.test.csv,0.6145545601592635,0.15978683645272243
data/GutenTAG/poly-type-mean/test.csv,0.9781898989898989,0.17249845642260503
data/NAB/exchange-4_cpm_results.test.csv,0.6891212750869903,0.23800560728239828
data/NAB/grok_asg_anomaly.test.csv,0.5500364804868204,0.25026774750351993
data/NAB/ec2_cpu_utilization_24ae8d.test.csv,0.9168359305401368,0.7394530156307209
data/NAB/ambient_temperature_system_failure.test.csv,0.6523764278972686,0.20009996399677246
data/GutenTAG/poly-type-trend/test.csv,0.9741656565656565,0.16462921242886877
data/NASA-SMAP/G-4.test.csv,0.9997814379262491,0.9535282258064516
