Dataset,AUC-ROC,AUC-PR
data/NAB/occupancy_6005.test.csv,0.3930670179148289,0.07553687091200474
data/NASA-SMAP/F-1.test.csv,0.38957122165122327,0.009943469430748586
data/KDD-TSAD/161_UCR_Anomaly_WalkingAceleration1.test.csv,0.20721125044695476,0.019969544873233297
data/KDD-TSAD/053_UCR_Anomaly_DISTORTEDWalkingAceleration1.test.csv,0.2628080633659434,0.02122367683570435
data/NASA-MSL/P-15.test.csv,0.10859158478206099,0.0038738580174382076
data/NAB/elb_request_count_8c0756.test.csv,0.5004899743705714,0.09953000790571097
data/GutenTAG/cbf-type-trend/test.csv,0.602531313131313,0.011842944705314886
data/GutenTAG/poly-combined-diff-2/test.csv,0.26678794326241134,0.04008235701867603
data/NAB/ec2_cpu_utilization_ac20cd.test.csv,0.6949736989115116,0.2756005020443658
data/NAB/speed_t4013.test.csv,0.09986636971046771,0.05471910244095527
data/NAB/occupancy_t4013.test.csv,0.2234417777777778,0.06136890298800264
data/NASA-SMAP/T-3.test.csv,0.3284194784680322,0.01445617603996149
data/NormA/Discords_marotta_valve_tek_16.test.csv,0.5616886032430213,0.027455034817146888
data/NAB/speed_7578.test.csv,0.0469661311777346,0.055018364980210135
data/NAB/exchange-3_cpc_results.test.csv,0.15445600622920647,0.05543809022311758
data/NAB/ec2_cpu_utilization_fe7f93.test.csv,0.5677984390051296,0.2210930065497811
data/NAB/speed_6005.test.csv,0.3591571841244756,0.07954006009222858
data/NAB/ec2_cpu_utilization_825cc2.test.csv,0.36671152990491784,0.07159304448810129
data/KDD-TSAD/019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1.test.csv,0.6764690227804981,0.005053051684183355
data/GutenTAG/poly-type-mean/test.csv,0.41994141414141417,0.012466599107177352
data/NAB/exchange-4_cpm_results.test.csv,0.32792427315753886,0.2941468419689301
data/NAB/grok_asg_anomaly.test.csv,0.46550860525525994,0.12545538757156394
data/NAB/ec2_cpu_utilization_24ae8d.test.csv,0.43802475227169935,0.11485439782497947
data/NAB/ambient_temperature_system_failure.test.csv,0.44439397519271323,0.09263697520127095
data/GutenTAG/poly-type-trend/test.csv,0.0004474747474747454,0.005016811862704996
data/NAB/rds_cpu_utilization_e47b3b.test.csv,0.6934638104244617,0.2831160194082404
data/NAB/ec2_cpu_utilization_77c1ca.test.csv,0.47972187103201597,0.08715467751076952
data/NAB/ec2_network_in_5abac7.test.csv,0.3075930530440024,0.129953402747133
data/GutenTAG/cbf-diff-count-1/test.csv,0.6618040404040404,0.013261330842651856
data/GutenTAG/poly-diff-count-4/test.csv,0.43745955931340663,0.04270312492554135
data/GutenTAG/poly-diff-count-5/test.csv,0.2896961159971204,0.02709604156866941
data/NAB/ec2_network_in_257a54.test.csv,0.36936806959651614,0.07257338947287587
data/NASA-MSL/P-14.test.csv,0.13557426734208317,0.016221928511911708
data/GutenTAG/cbf-diff-count-4/test.csv,0.5531785823040976,0.030307415714169304
data/NAB/exchange-4_cpc_results.test.csv,0.4093123385410259,0.289196113105193
data/NormA/Discords_marotta_valve_tek_14.test.csv,0.4839492977972175,0.04630107136089891
data/NAB/iio_us-east-1_i-a2eb1cd9_NetworkIn.test.csv,0.3874110073751972,0.08847607458805115
data/NAB/TravelTime_387.test.csv,0.5502489745744418,0.11349195688194759
data/NASA-SMAP/E-7.test.csv,0.3137775918168525,0.1462900225629365
data/NAB/ec2_request_latency_system_failure.test.csv,0.6658721172754902,0.138953453467919
data/NAB/art_daily_nojump.test.csv,0.5872968443480181,0.11372935659576043
data/GutenTAG/ecg-type-platform/test.csv,0.9999717171717172,0.9972650375105568
