File,Results
data/MGAB/9.test.csv,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5599700400801604, 'AUC-PR': 0.0026186395108768502}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5956110220440882, 'AUC-PR': 0.002681882597651065}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5005634018036071, 'AUC-PR': 0.002180875445864539}]"
data/MGAB/8.test.csv,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5182738977955912, 'AUC-PR': 0.0021396285970942145}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6005259018036072, 'AUC-PR': 0.00254402226821468}, {'Algorithm': 'LOF', 'AUC-ROC': 0.4907045340681363, 'AUC-PR': 0.0019031000340691382}]"
data/MGAB/10.test.csv,"[{'Algorithm': 'KNN', 'AUC-ROC': 0.604622369739479, 'AUC-PR': 0.00264385251063364}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5019278807615231, 'AUC-PR': 0.0024612524538183437}]"
data/MGAB/3.test.csv,"[{'Algorithm': 'KNN', 'AUC-ROC': 0.6546928106212425, 'AUC-PR': 0.0031128818564587534}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5285819889779559, 'AUC-PR': 0.0026765265587807337}]"
data/MGAB/2.test.csv,"[{'Algorithm': 'KNN', 'AUC-ROC': 0.5451302104208416, 'AUC-PR': 0.00211211136074015}, {'Algorithm': 'LOF', 'AUC-ROC': 0.49083517034068136, 'AUC-PR': 0.0018780443248184642}]"
data/GutenTAG/rw-diff-count-1/test.csv,"[{'Algorithm': 'KNN', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'LOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}]"
data/GutenTAG/cbf-position-end/test.csv,"[{'Algorithm': 'KNN', 'AUC-ROC': 0.9698434343434343, 'AUC-PR': 0.14922577349799282}, {'Algorithm': 'LOF', 'AUC-ROC': 0.504130303030303, 'AUC-PR': 0.023500040153934157}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.5927272727272728, 'AUC-PR': 0.013152931285145853}]"
data/GutenTAG/rw-diff-count-6/test.csv,"[{'Algorithm': 'KNN', 'AUC-ROC': 0.4073216867664817, 'AUC-PR': 0.07465980742837836}, {'Algorithm': 'LOF', 'AUC-ROC': 0.45380267993332213, 'AUC-PR': 0.0575034166100426}]"
data/GutenTAG/poly-type-trend/test.csv,"[{'Algorithm': 'KNN', 'AUC-ROC': 0.9669560606060605, 'AUC-PR': 0.15477155681222687}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5106520202020203, 'AUC-PR': 0.00966413649375587}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.00044545454545454445, 'AUC-PR': 0.005016809823519305}]"
data/GutenTAG/sinus-type-trend/test.csv,"[{'Algorithm': 'KNN', 'AUC-ROC': 0.5758252525252525, 'AUC-PR': 0.01270023741148971}, {'Algorithm': 'LOF', 'AUC-ROC': 0.48919848484848477, 'AUC-PR': 0.009445898546599968}]"
data/GutenTAG/sinus-position-middle/test.csv,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5927969696969697, 'AUC-PR': 0.033908279637476085}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6329959595959596, 'AUC-PR': 0.0335399989789163}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5615868686868687, 'AUC-PR': 0.023941379357421324}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7256181818181818, 'AUC-PR': 0.2281978748356492}]"
data/GutenTAG/ecg-type-variance/test.csv,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.632620202020202, 'AUC-PR': 0.014490214362400663}, {'Algorithm': 'KNN', 'AUC-ROC': 0.7056015151515151, 'AUC-PR': 0.018188877753595546}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5792267676767676, 'AUC-PR': 0.018395398905236608}, {'Algorithm': 'STOMP', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}]"
data/GutenTAG/sinus-diff-count-4/test.csv,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6554777199005686, 'AUC-PR': 0.29872681129611817}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6281356196943275, 'AUC-PR': 0.29985976996270597}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6396510035113392, 'AUC-PR': 0.2636662934775839}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9220658087503626, 'AUC-PR': 0.6820900730346308}]"
data/GutenTAG/sinus-diff-count-3/test.csv,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6228573883161512, 'AUC-PR': 0.29823561877137494}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6394369415807559, 'AUC-PR': 0.2980655233300696}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6183549828178695, 'AUC-PR': 0.25324447222758323}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.8891759450171821, 'AUC-PR': 0.6201837774762259}]"
data/GutenTAG/ecg-length-1000/test.csv,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6129852222222222, 'AUC-PR': 0.13213201706819083}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9999766666666666, 'AUC-PR': 0.9997907243252804}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6837541666666667, 'AUC-PR': 0.14981582887947098}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5365652222222222, 'AUC-PR': 0.13017201504513382}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9999475555555556, 'AUC-PR': 0.9994830308143442}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9999475555555556, 'AUC-PR': 0.9994830308143442}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9999401111111111, 'AUC-PR': 0.999463367282995}]"
data/GutenTAG/cbf-length-10/test.csv,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.8323723723723724, 'AUC-PR': 0.004678562917396758}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.8760160160160161, 'AUC-PR': 0.003978643272546807}, {'Algorithm': 'KNN', 'AUC-ROC': 0.7909809809809809, 'AUC-PR': 0.002664836331657715}, {'Algorithm': 'LOF', 'AUC-ROC': 0.4573723723723724, 'AUC-PR': 0.001095029075837268}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7980780780780781, 'AUC-PR': 0.002392030091470738}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7980780780780781, 'AUC-PR': 0.002392030091470738}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.7587187187187188, 'AUC-PR': 0.002063158184119538}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.7981581581581582, 'AUC-PR': 0.0023930358257322347}]"
data/GutenTAG/rw-same-count-1/test.csv,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5472484848484849, 'AUC-PR': 0.011542609254475582}, {'Algorithm': 'COF', 'AUC-ROC': 0.31904343434343435, 'AUC-PR': 0.007896680094601762}, {'Algorithm': 'kMeans', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6695883838383839, 'AUC-PR': 0.016016798133483064}, {'Algorithm': 'LOF', 'AUC-ROC': 0.3747489898989899, 'AUC-PR': 0.009376223696599673}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9998555555555556, 'AUC-PR': 0.9751340107186226}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9998555555555555, 'AUC-PR': 0.9751340107186227}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9990121212121212, 'AUC-PR': 0.8933048818890089}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9998555555555555, 'AUC-PR': 0.9751340107186227}]"
data/GutenTAG/sinus-combined-diff-3/test.csv,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5781380687697009, 'AUC-PR': 0.09955127621941749}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.999007675834356, 'AUC-PR': 0.9733593866122578}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6589898698236243, 'AUC-PR': 0.15239065942249935}, {'Algorithm': 'LOF', 'AUC-ROC': 0.582125652686542, 'AUC-PR': 0.12700609992736434}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7216371905002527, 'AUC-PR': 0.06721950957714248}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7216371905002527, 'AUC-PR': 0.06721950957714248}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9989836136576915, 'AUC-PR': 0.973160403684055}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.7157275199114511, 'AUC-PR': 0.06772900241558398}]"
