Dataset,AUC-ROC,AUC-PR
data/NAB/occupancy_6005.test.csv,0.47756884418378776,0.09640035771895984
data/NASA-SMAP/F-1.test.csv,0.517452493805316,0.023413881330643826
data/KDD-TSAD/161_UCR_Anomaly_WalkingAceleration1.test.csv,0.4981336912996607,0.0362230948412477
data/KDD-TSAD/053_UCR_Anomaly_DISTORTEDWalkingAceleration1.test.csv,0.5209919477701904,0.03654885402713806
data/NASA-MSL/P-15.test.csv,0.4775258251448728,0.006301138148603566
data/NAB/elb_request_count_8c0756.test.csv,0.5325603388018585,0.11534446937758815
data/GutenTAG/cbf-type-trend/test.csv,0.5309484848484849,0.010127682074869573
data/GutenTAG/poly-combined-diff-2/test.csv,0.4974667553191489,0.05726752952871909
data/NAB/ec2_cpu_utilization_ac20cd.test.csv,0.5040827713340359,0.10721934167851774
data/NAB/speed_t4013.test.csv,0.5530467706013363,0.19368829241270044
data/NAB/occupancy_t4013.test.csv,0.5242622222222223,0.10770986294477808
data/NASA-SMAP/T-3.test.csv,0.5056270554419038,0.04966538464694351
data/NormA/Discords_marotta_valve_tek_16.test.csv,0.4802049658764368,0.0218814760224195
data/NASA-SMAP/P-1.test.csv,0.29962526106537685,0.06128271312500981
data/NAB/speed_7578.test.csv,0.6350020464545176,0.2093234431918037
data/NAB/exchange-3_cpc_results.test.csv,0.5170217786272151,0.13195516856577919
data/NASA-MSL/F-7.test.csv,0.5360988466562834,0.1260744924168935
data/NAB/ec2_cpu_utilization_fe7f93.test.csv,0.47960052691235483,0.10222109387577755
data/NAB/speed_6005.test.csv,0.5220243569790832,0.14105604946550152
data/NAB/ec2_cpu_utilization_825cc2.test.csv,0.5585224214768199,0.10472679414578331
data/KDD-TSAD/019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1.test.csv,0.4091536391009458,0.003018482959484585
data/NAB/rogue_agent_key_hold.test.csv,0.37755847953216376,0.07907059172323212
data/GutenTAG/poly-type-mean/test.csv,0.528109595959596,0.011346875660244215
data/NAB/exchange-4_cpm_results.test.csv,0.4954443509952341,0.12286002966787157
data/NAB/grok_asg_anomaly.test.csv,0.5022374698583211,0.10493179569192733
